date_added,hq,name,sector,symbol
2019-10-03,Las Vegas,Las Vegas Sands,Consumer Discretionary,LVS
2019-08-09,"Reston, Virginia",Leidos,Industrials,LDOS
2005-10-04,Miami,Lennar,Consumer Discretionary,LEN
2024-12-23,"Richardson, Texas",Lennox International,Industrials,LII
1970-12-31,Indianapolis,Lilly (Eli),Health Care,LLY
1992-07-01,"Guildford, United Kingdom",Linde plc,Materials,LIN
2019-12-23,"Beverly Hills, California",Live Nation Entertainment,Communication Services,LYV
2016-05-23,"Nashville, Tennessee",LKQ Corporation,Consumer Discretionary,LKQ
1957-03-04,"Bethesda, Maryland",Lockheed Martin,Industrials,LMT
1995-05-31,New York City,Loews Corporation,Financials,L
1984-02-29,"Mooresville, North Carolina",Lowe's,Consumer Discretionary,LOW
2023-10-18,"Vancouver, Canada",Lululemon Athletica,Consumer Discretionary,LULU
2012-09-05,"Rotterdam, Netherlands",LyondellBasell,Materials,LYB
2004-02-23,"Buffalo, New York",M&T Bank,Financials,MTB
2011-07-01,"Findlay, Ohio",Marathon Petroleum,Energy,MPC
1998-05-29,"Bethesda, Maryland",Marriott International,Consumer Discretionary,MAR
1987-08-31,New York City,Marsh McLennan,Financials,MMC
2014-07-02,"Raleigh, North Carolina",Martin Marietta Materials,Materials,MLM
1981-06-30,"Livonia, Michigan",Masco,Industrials,MAS
2008-07-18,"Harrison, New York",Mastercard,Financials,MA
2021-09-20,Dallas,Match Group,Communication Services,MTCH
2003-03-20,"Hunt Valley, Maryland",McCormick & Company,Consumer Staples,MKC
1970-06-30,Chicago,McDonald's,Consumer Discretionary,MCD
1999-01-13,"Irving, Texas",McKesson Corporation,Health Care,MCK
1986-10-31,Dublin,Medtronic,Health Care,MDT
1957-03-04,"Kenilworth, New Jersey",Merck & Co.,Health Care,MRK
2013-12-23,"Menlo Park, California",Meta Platforms,Communication Services,META
2000-12-11,New York City,MetLife,Financials,MET
2016-09-06,"Columbus, Ohio",Mettler Toledo,Health Care,MTD
2017-07-26,"Paradise, Nevada",MGM Resorts,Consumer Discretionary,MGM
2007-09-07,"Chandler, Arizona",Microchip Technology,Information Technology,MCHP
1994-09-27,"Boise, Idaho",Micron Technology,Information Technology,MU
1994-06-01,"Redmond, Washington",Microsoft,Information Technology,MSFT
2016-12-02,"Memphis, Tennessee",Mid-America Apartment Communities,Real Estate,MAA
2021-07-21,"Cambridge, Massachusetts",Moderna,Health Care,MRNA
2013-12-23,"Calhoun, Georgia",Mohawk Industries,Consumer Discretionary,MHK
2022-03-02,"Long Beach, California",Molina Healthcare,Health Care,MOH
1976-06-30,Chicago,Molson Coors Beverage Company,Consumer Staples,TAP
2012-10-02,Chicago,Mondelez International,Consumer Staples,MDLZ
2021-02-12,"Kirkland, Washington",Monolithic Power Systems,Information Technology,MPWR
2012-06-28,"Corona, California",Monster Beverage,Consumer Staples,MNST
1998-07-01,New York City,Moody's Corporation,Financials,MCO
1993-07-29,New York City,Morgan Stanley,Financials,MS
2011-09-26,"Tampa, Florida",Mosaic Company (The),Materials,MOS
1957-03-04,Chicago,Motorola Solutions,Information Technology,MSI
2018-04-04,New York City,MSCI Inc.,Financials,MSCI
2008-10-22,New York City,"Nasdaq, Inc.",Financials,NDAQ
1999-06-25,"San Jose, California",NetApp,Information Technology,NTAP
2010-12-20,"Los Gatos, California",Netflix,Communication Services,NFLX
1969-06-30,Denver,Newmont,Materials,NEM
2013-08-01,New York City,News Corp,Communication Services,NWSA
2015-09-18,New York City,News Corp,Communication Services,NWS
1976-06-30,"Juno Beach, Florida",NextEra Energy,Utilities,NEE
1988-11-30,"Washington County, Oregon","Nike, Inc.",Consumer Discretionary,NKE
2000-11-02,"Merrillville, Indiana",NiSource,Utilities,NI
2022-02-15,"Westlake, Ohio",Nordson Corporation,Industrials,NDSN
1957-03-04,Atlanta,Norfolk Southern,Industrials,NSC
1998-01-30,Chicago,Northern Trust,Financials,NTRS
1957-03-04,"West Falls Church, Virginia",Northrop Grumman,Industrials,NOC
2017-10-13,Miami,Norwegian Cruise Line Holdings,Consumer Discretionary,NCLH
2010-01-29,Houston,NRG Energy,Utilities,NRG
1985-04-30,"Charlotte, North Carolina",Nucor,Materials,NUE
2001-11-30,"Santa Clara, California",Nvidia,Information Technology,NVDA
2019-09-26,"Reston, Virginia","NVR, Inc.",Consumer Discretionary,NVR
